,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
36,1,1,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,1,1,3,8,9,11,6,11,15,7,7,12,14,3,9,11,11,106,2
38,1,1,3,8,8,1,2,4,1,1,1,3,2,1,3,2,2,22,2
39,1,1,3,8,10,130,140,142,165,163,161,151,163,136,123,100,123,1567,2
40,1,1,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41,1,1,3,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,2
42,1,1,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
43,1,1,3,9,10,42,32,72,98,93,94,82,84,87,89,83,89,903,2
44,1,1,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,1,1,2,6,8,2,0,1,1,0,1,1,0,2,1,0,1,8,2
46,1,1,2,6,9,1,1,0,0,0,1,0,1,0,0,0,0,3,2
47,1,1,2,6,10,1,0,1,2,3,2,0,1,2,0,0,0,11,2
48,1,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
49,1,1,2,7,8,0,0,0,0,1,0,0,0,0,0,0,0,1,2
50,1,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,1,1,2,7,10,10,10,3,14,6,5,6,6,11,6,3,7,77,2
52,1,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53,1,1,0,0,0,38,27,23,16,30,35,23,32,32,26,37,20,301,2
54,1,1,0,1,1,166,147,158,128,97,123,122,120,138,113,103,96,1345,2
55,1,1,0,2,2,1,3,0,2,6,1,0,3,2,4,4,2,27,2
56,1,1,0,3,3,103,54,89,99,73,100,93,68,71,84,66,65,862,2
57,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
58,1,1,0,4,5,15,11,11,12,9,15,6,14,14,17,8,8,125,2
59,1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,1,1,5,14,15,0,0,1,1,0,0,0,1,0,1,0,0,4,2
61,1,1,1,5,7,4,4,6,16,4,10,8,7,5,9,6,6,81,2
